Prov.State,Country,Lat,Long,Date,Confirmed,Deaths,Recovered,Vaccinated
,Qatar,25.3548,51.1839,6/23/2020 8:00,89579,99,71501,0
,Qatar,25.3548,51.1839,6/24/2020 8:00,90778,104,73083,0
,Qatar,25.3548,51.1839,6/25/2020 8:00,91838,106,74544,0
,Qatar,25.3548,51.1839,6/26/2020 8:00,92784,109,76072,0
,Qatar,25.3548,51.1839,6/27/2020 8:00,93663,110,77225,0
,Qatar,25.3548,51.1839,6/28/2020 8:00,94413,110,78702,0
,Qatar,25.3548,51.1839,6/29/2020 8:00,95106,113,80170,0
,Qatar,25.3548,51.1839,6/30/2020 8:00,96088,113,81564,0
,Qatar,25.3548,51.1839,7/1/2020 8:00,97003,115,83965,0
,Qatar,25.3548,51.1839,7/2/2020 8:00,97897,118,86597,0
,Qatar,25.3548,51.1839,7/3/2020 8:00,98653,121,88583,0
,Qatar,25.3548,51.1839,7/4/2020 8:00,99183,123,90387,0
,Qatar,25.3548,51.1839,7/5/2020 8:00,99799,128,92284,0
,Qatar,25.3548,51.1839,7/6/2020 8:00,100345,133,93898,0
,Qatar,25.3548,51.1839,7/7/2020 8:00,100945,134,94903,0
,Qatar,25.3548,51.1839,7/8/2020 8:00,101553,138,96107,0
,Qatar,25.3548,51.1839,7/9/2020 8:00,102110,142,97272,0
,Qatar,25.3548,51.1839,7/10/2020 8:00,102630,146,98233,0
,Qatar,25.3548,51.1839,7/11/2020 8:00,103128,146,98934,0
,Qatar,25.3548,51.1839,7/12/2020 8:00,103598,147,99743,0
,Qatar,25.3548,51.1839,7/13/2020 8:00,104016,149,100627,0
,Qatar,25.3548,51.1839,7/14/2020 8:00,104533,150,101160,0
,Qatar,25.3548,51.1839,7/15/2020 8:00,104983,151,101637,0
,Qatar,25.3548,51.1839,7/16/2020 8:00,105477,152,102168,0
,Qatar,25.3548,51.1839,7/17/2020 8:00,105898,153,102597,0
,Qatar,25.3548,51.1839,7/18/2020 8:00,106308,154,103023,0
,Qatar,25.3548,51.1839,7/19/2020 8:00,106648,157,103377,0
,Qatar,25.3548,51.1839,7/20/2020 8:00,107037,159,103782,0
,Qatar,25.3548,51.1839,7/21/2020 8:00,107430,160,104191,0
,Qatar,25.3548,51.1839,7/22/2020 8:00,107871,163,104641,0
,Qatar,25.3548,51.1839,7/23/2020 8:00,108244,164,105018,0
,Qatar,25.3548,51.1839,7/24/2020 8:00,108638,164,105420,0
,Qatar,25.3548,51.1839,7/25/2020 8:00,109036,164,105750,0
,Qatar,25.3548,51.1839,7/26/2020 8:00,109305,165,106024,0
,Qatar,25.3548,51.1839,7/27/2020 8:00,109597,165,106328,0
,Qatar,25.3548,51.1839,7/28/2020 8:00,109880,167,106603,0
,Qatar,25.3548,51.1839,7/29/2020 8:00,110153,169,106849,0
,Qatar,25.3548,51.1839,7/30/2020 8:00,110460,171,107135,0
,Qatar,25.3548,51.1839,7/31/2020 8:00,110695,174,107377,0
,Qatar,25.3548,51.1839,8/1/2020 8:00,110911,174,107578,0
,Qatar,25.3548,51.1839,8/2/2020 8:00,111107,177,107779,0
,Qatar,25.3548,51.1839,8/3/2020 8:00,111322,177,108002,0
,Qatar,25.3548,51.1839,8/4/2020 8:00,111538,177,108254,0
,Qatar,25.3548,51.1839,8/5/2020 8:00,111805,178,108539,0
,Qatar,25.3548,51.1839,8/6/2020 8:00,112092,178,108831,0
,Qatar,25.3548,51.1839,8/7/2020 8:00,112383,180,109142,0
,Qatar,25.3548,51.1839,8/8/2020 8:00,112650,182,109438,0
,Qatar,25.3548,51.1839,8/9/2020 8:00,112947,184,109709,0
,Qatar,25.3548,51.1839,8/10/2020 8:00,113262,188,109993,0
,Qatar,25.3548,51.1839,8/11/2020 8:00,113646,188,110324,0
,Qatar,25.3548,51.1839,8/12/2020 8:00,113938,190,110627,0
,Qatar,25.3548,51.1839,8/13/2020 8:00,114281,190,110957,0
,Qatar,25.3548,51.1839,8/14/2020 8:00,114532,190,111258,0
,Qatar,25.3548,51.1839,8/15/2020 8:00,114809,192,111505,0
,Qatar,25.3548,51.1839,8/16/2020 8:00,115080,193,111794,0
,Qatar,25.3548,51.1839,8/17/2020 8:00,115368,193,112088,0
,Qatar,25.3548,51.1839,8/18/2020 8:00,115661,193,112355,0
,Qatar,25.3548,51.1839,8/19/2020 8:00,115956,193,112658,0
,Qatar,25.3548,51.1839,8/20/2020 8:00,116224,193,112924,0
,Qatar,25.3548,51.1839,8/21/2020 8:00,116481,193,113216,0
,Qatar,25.3548,51.1839,8/22/2020 8:00,116765,193,113531,0
,Qatar,25.3548,51.1839,8/23/2020 8:00,117008,193,113808,0
,Qatar,25.3548,51.1839,8/24/2020 8:00,117266,194,114099,0
,Qatar,25.3548,51.1839,8/25/2020 8:00,117498,194,114318,0
,Qatar,25.3548,51.1839,8/26/2020 8:00,117742,194,114558,0
,Qatar,25.3548,51.1839,8/27/2020 8:00,117988,195,114797,0
,Qatar,25.3548,51.1839,8/28/2020 8:00,118196,196,115017,0
,Qatar,25.3548,51.1839,8/29/2020 8:00,118407,196,115251,0
,Qatar,25.3548,51.1839,8/30/2020 8:00,118575,197,115430,0
,Qatar,25.3548,51.1839,8/31/2020 8:00,118778,197,115667,0
,Qatar,25.3548,51.1839,9/1/2020 8:00,118994,198,115895,0
,Qatar,25.3548,51.1839,9/2/2020 8:00,119206,199,116111,0
,Qatar,25.3548,51.1839,9/3/2020 8:00,119420,201,116313,0
,Qatar,25.3548,51.1839,9/4/2020 8:00,119637,201,116538,0
,Qatar,25.3548,51.1839,9/5/2020 8:00,119864,202,116780,0
,Qatar,25.3548,51.1839,9/6/2020 8:00,120095,203,116998,0
,Qatar,25.3548,51.1839,9/7/2020 8:00,120348,205,117241,0
,Qatar,25.3548,51.1839,9/8/2020 8:00,120579,205,117497,0
,Qatar,25.3548,51.1839,9/9/2020 8:00,120846,205,117746,0
,Qatar,25.3548,51.1839,9/10/2020 8:00,121052,205,117978,0
,Qatar,25.3548,51.1839,9/11/2020 8:00,121287,205,118199,0
,Qatar,25.3548,51.1839,9/12/2020 8:00,121523,205,118475,0
,Qatar,25.3548,51.1839,9/13/2020 8:00,121740,205,118682,0
,Qatar,25.3548,51.1839,9/14/2020 8:00,121975,207,118931,0
